Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Ghana,7900 ,3500 , 17 000,9600 ,4200 , 20 000,11 000 ,5000 , 24 000,13 000 ,5900 , 28 000,15 000 ,6900 , 32 000,17 000 ,7700 , 36 000,19 000 ,8400 , 39 000,20 000 ,9000 , 42 000,21 000 ,9400 , 44 000,22 000 ,9700 , 46 000,23 000 ,10 000 , 48 000,24 000 ,10 000 , 48 000,24 000 ,11 000 , 48 000,24 000 ,11 000 , 47 000,24 000 ,11 000 , 46 000,25 000 ,11 000 , 46 000,25 000 ,11 000 , 47 000,26 000 ,12 000 , 48 000,27 000 ,13 000 , 50 000,29 000 ,14 000 , 53 000,30 000 ,15 000 , 56 000,33 000 ,16 000 , 60 000,35 000 ,17 000 , 65 000,38 000 ,19 000 , 70 000,41 000 ,21 000 , 76 000,45 000 ,23 000 , 82 000,48 000 ,25 000 , 89 000,52 000 ,28 000 , 94 000,55 000 ,30 000 , 100 000
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Grenada,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200
Guatemala,<1000 ,<500 , 1500,1000 ,<1000 , 1900,1200 ,<1000 , 2300,1500 ,<1000 , 2700,1700 ,<1000 , 3200,2000 ,1000 , 3700,2200 ,1200 , 4200,2500 ,1300 , 4600,2700 ,1400 , 5100,3000 ,1500 , 5600,3200 ,1700 , 6000,3400 ,1800 , 6400,3600 ,2000 , 6800,3800 ,2100 , 7000,4100 ,2300 , 7400,4300 ,2600 , 7800,4600 ,2700 , 8100,4800 ,3000 , 8500,5200 ,3300 , 8900,5700 ,3600 , 9400,6100 ,4000 , 9900,6600 ,4400 , 11 000,7100 ,4800 , 11 000,7600 ,5200 , 12 000,8000 ,5600 , 12 000,8500 ,6000 , 12 000,8900 ,6400 , 13 000,9400 ,6800 , 14 000,9900 ,7200 , 14 000
Guinea,1900 ,<1000 , 5400,2400 ,<1000 , 6800,2900 ,1200 , 7800,3600 ,1500 , 9000,4300 ,1800 , 10 000,4900 ,2100 , 11 000,5600 ,2400 , 12 000,6100 ,2600 , 13 000,6600 ,2900 , 13 000,7100 ,3200 , 14 000,7500 ,3400 , 14 000,7800 ,3500 , 15 000,8200 ,3600 , 15 000,8500 ,3800 , 16 000,8700 ,4100 , 17 000,8900 ,4100 , 17 000,9300 ,4200 , 17 000,9700 ,4600 , 18 000,10 000 ,5000 , 20 000,11 000 ,5400 , 21 000,12 000 ,5800 , 22 000,13 000 ,6300 , 24 000,14 000 ,6800 , 26 000,15 000 ,7500 , 28 000,16 000 ,8100 , 29 000,17 000 ,8700 , 30 000,18 000 ,9200 , 32 000,19 000 ,9800 , 34 000,20 000 ,11 000 , 35 000
Guinea-Bissau,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1200,<1000 ,<500 , 1500,<1000 ,<500 , 2000,1100 ,<1000 , 2400,1400 ,<1000 , 2800,1600 ,<1000 , 3200,1800 ,<1000 , 3700,2000 ,<1000 , 4200,2200 ,1000 , 4600,2400 ,1100 , 4900,2600 ,1200 , 5200,2800 ,1200 , 5400,2900 ,1300 , 5500,3000 ,1400 , 5700,3200 ,1500 , 6000,3400 ,1600 , 6400,3600 ,1700 , 6800,3900 ,1800 , 7300,4100 ,2000 , 7700,4400 ,2100 , 8300,4700 ,2300 , 8700,5000 ,2500 , 9100,5400 ,2700 , 9700,5700 ,2900 , 10 000,6100 ,3200 , 11 000
Guyana,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1200,<1000 ,<1000 , 1400,<1000 ,<1000 , 1600,1100 ,<1000 , 1800,1300 ,1000 , 2000,1500 ,1200 , 2300,1700 ,1300 , 2600,1900 ,1500 , 2900,2200 ,1700 , 3100,2400 ,1900 , 3400,2600 ,2100 , 3700
Haiti,9900 ,4500 , 25 000,11 000 ,5200 , 28 000,13 000 ,5800 , 30 000,14 000 ,6200 , 31 000,14 000 ,6500 , 31 000,15 000 ,6700 , 32 000,15 000 ,6800 , 33 000,15 000 ,6800 , 32 000,15 000 ,6700 , 31 000,15 000 ,6600 , 29 000,14 000 ,6600 , 29 000,14 000 ,6600 , 29 000,14 000 ,6500 , 28 000,14 000 ,6500 , 28 000,14 000 ,6500 , 27 000,14 000 ,6400 , 27 000,14 000 ,6500 , 27 000,14 000 ,6800 , 28 000,15 000 ,7300 , 30 000,16 000 ,7900 , 32 000,17 000 ,8700 , 34 000,19 000 ,9400 , 37 000,20 000 ,10 000 , 40 000,21 000 ,11 000 , 43 000,23 000 ,12 000 , 45 000,25 000 ,13 000 , 48 000,27 000 ,14 000 , 50 000,28 000 ,15 000 , 53 000,30 000 ,17 000 , 56 000
Honduras,<1000 ,<500 , 1900,1100 ,<500 , 2100,1200 ,<1000 , 2300,1400 ,<1000 , 2600,1500 ,<1000 , 2900,1700 ,<1000 , 3100,1800 ,<1000 , 3400,1900 ,<1000 , 3600,2000 ,<1000 , 3700,2100 ,1000 , 3800,2100 ,1100 , 3800,2100 ,1100 , 3900,2200 ,1100 , 3900,2200 ,1100 , 3900,2300 ,1200 , 3900,2400 ,1300 , 4000,2500 ,1400 , 4200,2700 ,1600 , 4300,2800 ,1700 , 4400,3000 ,1800 , 4600,3200 ,1900 , 4800,3300 ,2100 , 5000,3500 ,2200 , 5200,3700 ,2400 , 5400,4000 ,2600 , 5700,4200 ,2700 , 6000,4500 ,3000 , 6400,4800 ,3200 , 6800,5200 ,3500 , 7200
Hungary,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<1000 , 1500,1000 ,<1000 , 1600
Iceland,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1500,1200 ,<500 , 2000,1500 ,<1000 , 2600,1900 ,<1000 , 3300,2300 ,1200 , 4100,2800 ,1500 , 4800,3300 ,1900 , 5600,3800 ,2300 , 6600,4400 ,2700 , 7500,5100 ,3200 , 8500,5700 ,3600 , 9500,6500 ,4100 , 11 000,7300 ,4800 , 12 000,8300 ,5500 , 13 000,9500 ,6400 , 15 000,11 000 ,7600 , 17 000
Iran (Islamic Republic of),<200 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , 1100,<500 ,<200 , 1500,<1000 ,<500 , 1700,<1000 ,<500 , 2100,1100 ,<1000 , 2700,1400 ,<1000 , 3200,1800 ,<1000 , 3600,2200 ,1200 , 4000,2700 ,1600 , 4400,3200 ,2000 , 4900,3700 ,2200 , 5500,4100 ,2500 , 6200,4600 ,2800 , 7200,5100 ,3100 , 8300,5500 ,3400 , 9000,6000 ,3800 , 9700,6500 ,4100 , 11 000,7100 ,4400 , 12 000,7700 ,4700 , 14 000,8400 ,5000 , 17 000,9200 ,5300 , 19 000,10 000 ,5900 , 21 000,11 000 ,6300 , 23 000
Ireland,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1300,<1000 ,<1000 , 1400,1000 ,<1000 , 1600,1100 ,<1000 , 1700,1300 ,<1000 , 1900,1400 ,<1000 , 2100,1500 ,1100 , 2300,1700 ,1200 , 2600,1900 ,1300 , 2800,2100 ,1500 , 3000,2300 ,1600 , 3300,2500 ,1800 , 3500,2700 ,2000 , 3800
Israel,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1400,1000 ,<1000 , 1500,1200 ,<1000 , 1700,1300 ,<1000 , 1900,1400 ,<1000 , 2100,1600 ,1100 , 2300,1800 ,1200 , 2500,1900 ,1300 , 2700,2100 ,1400 , 2900,2300 ,1600 , 3100,2500 ,1700 , 3400,2700 ,1900 , 3600,2900 ,2100 , 3900
Italy,7700 ,3700 , 14 000,8100 ,3900 , 15 000,8400 ,4000 , 15 000,8600 ,4100 , 16 000,8800 ,4100 , 16 000,9000 ,4200 , 16 000,9500 ,4400 , 17 000,10 000 ,4900 , 18 000,11 000 ,5600 , 19 000,13 000 ,6600 , 21 000,14 000 ,7500 , 24 000,16 000 ,8300 , 26 000,17 000 ,9300 , 29 000,19 000 ,10 000 , 32 000,21 000 ,12 000 , 35 000,23 000 ,13 000 , 37 000,25 000 ,15 000 , 41 000,27 000 ,16 000 , 44 000,30 000 ,18 000 , 48 000,33 000 ,20 000 , 51 000,36 000 ,22 000 , 54 000,39 000 ,25 000 , 58 000,42 000 ,28 000 , 63 000,46 000 ,31 000 , 67 000,50 000 ,34 000 , 72 000,53 000 ,37 000 , 76 000,57 000 ,40 000 , 79 000,61 000 ,43 000 , 83 000,65 000 ,46 000 , 87 000
Jamaica,<1000 ,<500 , 1300,<1000 ,<500 , 1900,1300 ,<1000 , 2600,1700 ,<1000 , 3500,2200 ,<1000 , 4200,2600 ,1200 , 5000,2900 ,1400 , 5500,3300 ,1700 , 5900,3500 ,1900 , 6200,3700 ,2000 , 6500,3800 ,2100 , 6700,3900 ,2200 , 6900,4000 ,2200 , 7000,4000 ,2200 , 7100,4000 ,2100 , 7100,4100 ,2100 , 7200,4200 ,2200 , 7600,4400 ,2400 , 7900,4700 ,2500 , 8300,5000 ,2800 , 8700,5500 ,3100 , 9200,5900 ,3500 , 9600,6400 ,3900 , 10 000,6900 ,4300 , 11 000,7500 ,4800 , 12 000,8100 ,5300 , 12 000,8800 ,5800 , 13 000,9400 ,6300 , 14 000,10 000 ,6800 , 15 000
Japan,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1600,1200 ,<500 , 1900,1400 ,<1000 , 2300,1700 ,<1000 , 2700,2000 ,<1000 , 3200,2300 ,1000 , 3700,2600 ,1200 , 4200,3000 ,1400 , 4800,3400 ,1600 , 5400,3800 ,1900 , 6100,4300 ,2200 , 6800,4800 ,2500 , 7500,5300 ,2900 , 8200,5900 ,3200 , 9000,6500 ,3700 , 9800,7100 ,4100 , 11 000,7800 ,4600 , 11 000,8500 ,5200 , 12 000,9200 ,5800 , 13 000,10 000 ,6400 , 14 000
Jordan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200
Kazakhstan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1100,1100 ,<1000 , 1400,1300 ,<1000 , 1700,1600 ,1000 , 2100,1900 ,1200 , 2500,2200 ,1400 , 3000,2600 ,1700 , 3600,3100 ,2000 , 4100,3500 ,2300 , 4800,4000 ,2700 , 5400
Kenya,35 000 ,21 000 , 67 000,47 000 ,28 000 , 89 000,59 000 ,35 000 , 110 000,70 000 ,42 000 , 130 000,81 000 ,48 000 , 150 000,90 000 ,53 000 , 170 000,97 000 ,58 000 , 180 000,100 000 ,61 000 , 190 000,110 000 ,63 000 , 200 000,110 000 ,64 000 , 210 000,110 000 ,65 000 , 210 000,110 000 ,65 000 , 210 000,110 000 ,65 000 , 210 000,110 000 ,64 000 , 210 000,110 000 ,64 000 , 200 000,110 000 ,64 000 , 210 000,110 000 ,66 000 , 210 000,120 000 ,69 000 , 220 000,120 000 ,73 000 , 230 000,130 000 ,79 000 , 250 000,140 000 ,85 000 , 270 000,150 000 ,92 000 , 290 000,170 000 ,100 000 , 320 000,180 000 ,110 000 , 350 000,200 000 ,120 000 , 390 000,220 000 ,130 000 , 420 000,240 000 ,140 000 , 460 000,270 000 ,160 000 , 510 000,290 000 ,170 000 , 550 000
Kuwait,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200
Kyrgyzstan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<1000 , 1500,1000 ,<1000 , 1700,1200 ,<1000 , 1900,1300 ,<1000 , 2100
Lao People's Democratic Republic,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200
Latvia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,1000 ,<1000 , 1400,1100 ,<1000 , 1500,1200 ,<1000 , 1600,1300 ,<1000 , 1700,1400 ,1000 , 1800,1500 ,1100 , 1900,1600 ,1300 , 2100
Lebanon,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100
Lesotho,2800 ,1200 , 6200,4000 ,1800 , 8600,5500 ,2400 , 11 000,7400 ,3300 , 15 000,9800 ,4300 , 20 000,12 000 ,5500 , 25 000,15 000 ,6800 , 31 000,18 000 ,7900 , 35 000,20 000 ,9100 , 39 000,23 000 ,10 000 , 43 000,25 000 ,11 000 , 47 000,27 000 ,12 000 , 51 000,28 000 ,13 000 , 54 000,29 000 ,14 000 , 57 000,30 000 ,14 000 , 59 000,31 000 ,15 000 , 61 000,32 000 ,15 000 , 63 000,33 000 ,17 000 , 66 000,36 000 ,18 000 , 69 000,39 000 ,19 000 , 74 000,42 000 ,21 000 , 79 000,45 000 ,23 000 , 84 000,48 000 ,25 000 , 89 000,52 000 ,27 000 , 95 000,56 000 ,30 000 , 100 000,59 000 ,32 000 , 110 000,63 000 ,35 000 , 110 000,67 000 ,38 000 , 120 000,70 000 ,40 000 , 120 000
Liberia,1100 ,<500 , 2000,1500 ,<1000 , 2700,1700 ,<1000 , 3100,2000 ,<1000 , 3500,2200 ,<1000 , 4000,2400 ,1000 , 4400,2600 ,1100 , 4800,2800 ,1200 , 5200,3100 ,1300 , 5600,3300 ,1500 , 6000,3400 ,1500 , 6300,3400 ,1500 , 6300,3400 ,1500 , 6200,3400 ,1500 , 6100,3300 ,1500 , 5900,3300 ,1500 , 5800,3300 ,1500 , 5700,3400 ,1500 , 5800,3500 ,1600 , 6000,3600 ,1700 , 6200,3800 ,1900 , 6500,4000 ,2000 , 6800,4200 ,2100 , 7200,4400 ,2200 , 7500,4700 ,2400 , 7600,4900 ,2600 , 8000,5100 ,2700 , 8400,5400 ,3000 , 8800,5700 ,3200 , 9200
Libya,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,1000 ,<1000 , 1700,1200 ,<1000 , 1900,1300 ,<1000 , 2100,1500 ,1100 , 2300
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Luxembourg,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Madagascar,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1600,<1000 ,<1000 , 1700,<1000 ,<1000 , 1800,1100 ,<1000 , 1900,1100 ,<1000 , 2000,1200 ,<1000 , 2100,1300 ,<1000 , 2200,1300 ,<1000 , 2400,1400 ,<1000 , 2600,1600 ,<1000 , 2800,1700 ,<1000 , 3200,1900 ,<1000 , 3400,2100 ,1100 , 4000
Malawi,23 000 ,11 000 , 49 000,29 000 ,13 000 , 58 000,34 000 ,16 000 , 67 000,40 000 ,18 000 , 77 000,45 000 ,21 000 , 87 000,50 000 ,23 000 , 96 000,54 000 ,26 000 , 100 000,59 000 ,27 000 , 110 000,62 000 ,29 000 , 110 000,65 000 ,31 000 , 110 000,67 000 ,32 000 , 120 000,67 000 ,32 000 , 120 000,68 000 ,33 000 , 120 000,67 000 ,33 000 , 120 000,67 000 ,32 000 , 110 000,66 000 ,32 000 , 110 000,67 000 ,32 000 , 120 000,70 000 ,33 000 , 120 000,74 000 ,36 000 , 130 000,80 000 ,39 000 , 140 000,87 000 ,43 000 , 150 000,94 000 ,48 000 , 160 000,100 000 ,52 000 , 180 000,110 000 ,58 000 , 190 000,120 000 ,65 000 , 210 000,140 000 ,72 000 , 230 000,150 000 ,81 000 , 250 000,160 000 ,91 000 , 270 000,180 000 ,100 000 , 290 000
Malaysia,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<1000 , 1500,1100 ,<1000 , 2100,1400 ,1100 , 2600,1700 ,1300 , 3000,2100 ,1500 , 3500,2400 ,1700 , 4000,2800 ,1900 , 4500,3100 ,2000 , 5000,3500 ,2200 , 5600,3800 ,2400 , 6000,4200 ,2700 , 6500,4700 ,3000 , 7100,5200 ,3300 , 7700,5700 ,3700 , 8200,6200 ,4000 , 9000,6800 ,4500 , 9700,7300 ,4900 , 10 000,7900 ,5300 , 11 000,8600 ,5800 , 12 000,9300 ,6400 , 13 000,10 000 ,6900 , 13 000,11 000 ,7400 , 14 000,11 000 ,7900 , 15 000,12 000 ,8500 , 16 000,13 000 ,9100 , 16 000,14 000 ,10 000 , 18 000,15 000 ,11 000 , 19 000
